key;from;to
list.description.fans;"Nous vous invitons à demander aux membres que vous placerez dans cette liste, de vous envoyer un cadeau par mois pour rester dans votre ""fan list"". De cette façon, votre fan club peut vous rapporter gros!";
list.description.to_know;"Nous vous invitons à placer dans cette liste les membres ""intéressants"" qui vous ont fait une demande";
list.name.blocked;Utilisateurs bloqués;
list.name.circle1;Cercle1;
list.name.family;Famille;
list.name.fans1;Fans1;
list.name.friends;Amis;
list.name.professionals;Liste pro;
list.name.retailers;Commerçants;
list.name.to_know;À connaitre;
apply;Appliquer;
post;Poster;
firstWelcomeNotification.introduction;Tout d'abord, une petite présentation 🧙;
firstWelcomeNotification.welcomeMessage;"Bienvenue <span class=""username"">{name}</span>, vous êtes le membre n°{userId}.";
back;Précédent;
house.block_me;Vous a bloqué;
house.blocked;Utilisateur bloqué;
house.flash;Demande;
house.flashes;Demandes;
house.return_to_myhouse;Retourner à ma maison;
house.simulate_other_house;Voir comme un utilisateur;
house.user_in_list;Présent dans;
house.waiting;Demande en attente;
show_original;Voir l'original;
stats.daily_stats.new_signups;Nouvelles incriptions;
stats.daily_stats.reports;Publications Signalées;
stats.daily_stats.title;Statistiques journalières;
stats.days;jours;
stats.houses_use.count;Nb;
stats.houses_use.house;Maison;
stats.houses_use.title;Utilisation des maisons;
stats.houses_use.type;Type d'utilisateur;
stats.today;Aujourd’hui;
stats.unlimited;illimité;
stats.yesterday;Hier;
save;Sauvegarder;
login;Connexion;
admin.delete.message;Êtes-vous sûr de vouloir supprimer ce contenu ?;
admin.delete.title;Confirmer la suppression;
admin.delete_user.message;Êtes-vous sûr de vouloir supprimer ce compte ?;
admin.delete_user.title;Confirmer la suppression;
admin.ignore.message;Êtes-vous sûr de vouloir ignorer ce signalement ?;
admin.ignore.title;Ignorer le signalement;
admin.ignored;Signalement ignoré.;
admin.report.content;Contenu;
admin.report.count;Nb;
admin.report.type;Type;
admin.report.user;Utilisateur;
admin.reported_count;Contenu signalé {count} fois;
admin.reports;Signalements;
admin.reports_deleted;{count} contenus supprimés;
admin.view_comment;Voir le commentaire;
admin.view_message;Voir la conversation;
admin.view_photo;Voir la photo;
admin.view_post;Voir la discussion;
admin.view_status;Voir le status;
me;Moi;
sex.bakery;Boulangerie;
sex.barnuit;Bar de nuit;
sex.beauty;Esthétique;
sex.butchery;Boucherie;
sex.cafe;Café;
sex.celebrity;Célébrité;
sex.clothes;Vêtements;
sex.discotheque;Discothèque;
sex.electrician;Electricien;
sex.fastfood;Fast food;
sex.female;Femme;
sex.florist;Fleuriste;
sex.hotel;Hôtel;
sex.jewelry;Joaillerie;
sex.male;Homme;
sex.market;Marché;
sex.other;Autre;
sex.plumbing;Plomberie;
sex.renovation;Rénovation;
sex.restaurant;Restaurant;
sex.stylist;Coiffeur;
sex.taxi;Taxi;
sex.vtc;VTC;
notifications.forgotten_password;Email de réinitialisation de votre mot de passe envoyé à l'adresse {email}.;
block_user.block;Bloquer;
block_user.blocked;Utilisateur bloqué!;
block_user.blockedBy;"Vous avez été bloqué par {name} et il a automatiquement été bloqué en retour. \n Vous n'avez plus accès à ses status, photos et commentaires. Vous ne pouvez plus lui envoyer de demande. \n Pour vous débloquez, chacun devra retirer l'autre de sa liste d'utilisateurs bloqués.";
block_user.details;{name} sera prévenu de son blocage et vous serez automatiquement bloqué en retour. Pour vous débloquez, chacun devra retirer l'autre de sa liste d'utilisateurs bloqués.;
block_user.text;{name} n'aura plus accès à vos status, photos et commentaires. Il ne pourra plus vous envoyer de demande.;
block_user.title;Bloquer {name};
create;Créer;
profile.not_rated;Non noté;
profile.personality;Personnalité;
profile.physical;Physique;
profile.rate;Notes reçues;
profile.update;Mise à jour;
send_flash;Ajouter;
forgotten_password;Mot de passe oublié;
rate;Noter;
register;Inscription;
filter;Filtrer;
sharing;Partage de;
reply;Répondre;
status.message;Statut :;
response.ethnicity.african;africaine;
response.ethnicity.asian;asiatique;
response.ethnicity.australian;australienne;
response.ethnicity.european;européenne;
response.ethnicity.indian;indienne;
response.ethnicity.native_american;amérindienne;
response.ethnicity.oceanian;océanique;
response.ethnicity.other;autre;
response.ethnicity.russian;russe;
response.ethnicity.turkish;turque;
response.eye_color.blue;bleus;
response.eye_color.brown;bruns;
response.eye_color.green;verts;
response.eye_color.wall;vairons;
response.family.brother;frère;
response.family.cousin;cousin;
response.family.daughter;fille;
response.family.father;père;
response.family.granddaughter;petite-fille;
response.family.grandfather;grand-père;
response.family.grandmother;grand-mère;
response.family.grandson;petit-fils;
response.family.mother;mère;
response.family.sister;soeur;
response.family.son;fils;
response.fashion_style.athletic;sportif;
response.fashion_style.marginal;marginal;
response.fashion_style.relaxed;relaxé;
response.fashion_style.sophisticated;rafiné;
response.hair_color.black;noir;
response.hair_color.blond;blond;
response.hair_color.dark_bond;chatain;
response.hair_color.extrovert;extraverti;
response.hair_color.grey;gris;
response.hair_color.red_hair;roux;
response.hair_color.white;blanc;
response.hair_size.long;longs;
response.hair_size.semi_long;mi-longs;
response.hair_size.shaved;rasé;
response.hair_size.short;courts;
response.hair_type.frizzy;frisés;
response.hair_type.kinky;crépus;
response.hair_type.silky;soyeux;
response.hair_type.straight;raides;
response.hair_type.thick;épais;
response.hair_type.thin;fins;
response.hair_type.wavy;ondulés;
response.interests.art;art;
response.interests.board_game;jeux de société;
response.interests.cinema;cinéma;
response.interests.computer;informatique;
response.interests.cooking;cooking;
response.interests.craft;bricolage;
response.interests.decoration;décoration;
response.interests.friend;amis;
response.interests.history;histoire;
response.interests.holidays;vacances;
response.interests.music;musique;
response.interests.nature;nature;
response.interests.other;autre;
response.interests.painting;peinture;
response.interests.pets;animaux;
response.interests.photography;photographie;
response.interests.politics;politique;
response.interests.reading;lecture;
response.interests.restaurant;restaurant;
response.interests.shopping;shopping;
response.interests.sport;sport;
response.interests.theater;théatre;
response.interests.traveling;voyages;
response.interests.video_games;jeu vidéo;
response.money.gambler;flambeur;
response.money.moderate;modéré;
response.money.spender;dépensier;
response.money.thrifty;économe;
response.money.tightfisted;radin;
response.planned.afternoon;cette après-midi;
response.planned.autumn_holidays;ces vacances d'automne;
response.planned.christmas_holidays;ces vacances de Noël;
response.planned.dinner;ce diner;
response.planned.evening;ce soir;
response.planned.morning;ce matin;
response.planned.new_year_holidays;ces vacances de nouvel an;
response.planned.night;cette nuit;
response.planned.noon;ce midi;
response.planned.spring_holidays;ces vacances de printemps;
response.planned.summer_holidays;ces vacances d'été;
response.planned.week;cette semaine;
response.planned.weekend;ce week-end;
response.planned.winter_holidays;ces vacances d'hiver;
response.sexual_orientation.bi;bisexuel;
response.sexual_orientation.curious;curieux(se);
response.sexual_orientation.gay;gay;
response.sexual_orientation.lesbian;lesbienne;
response.sexual_orientation.other;autre;
response.sexual_orientation.straight;hétéro;
response.status.boyfriend;boyfriend;
response.status.change_message;Votre situation matrimoniale a bien été modifiée;
response.status.civil_partnership;pacsé;
response.status.cohabitant;concubin(e);
response.status.free_union;union libre;
